Distance (km),Loss (dB)
0.004769,42.989000
0.004774,42.987000
0.004779,42.986000
0.004784,42.984000
0.004789,42.982000
0.004794,42.981000
0.004799,42.979000
0.004804,42.976000
0.004809,42.974000
0.004814,42.973000
0.004820,42.971000
0.004825,42.970000
0.004830,42.969000
0.004835,42.967000
0.004840,42.965000
0.004845,42.963000
0.004850,42.961000
0.004855,42.959000
0.004860,42.957000
0.004865,42.956000
0.004871,42.954000
0.004876,42.952000
0.004881,42.951000
0.004886,42.949000
0.004891,42.947000
0.004896,42.946000
0.004901,42.944000
0.004906,42.942000
0.004911,42.940000
0.004916,42.938000
0.004921,42.937000
0.004927,42.935000
0.004932,42.933000
0.004937,42.932000
0.004942,42.931000
0.004947,42.929000
0.004952,42.928000
0.004957,42.925000
0.004962,42.924000
0.004967,42.922000
0.004972,42.920000
0.004978,42.919000
0.004983,42.917000
0.004988,42.915000
0.004993,42.913000
0.004998,42.911000
0.005003,42.909000
0.005008,42.907000
0.005013,42.905000
0.005018,42.904000
0.005023,42.903000
0.005028,42.902000
0.005034,42.900000
0.005039,42.898000
0.005044,42.896000
0.005049,42.894000
0.005054,42.892000
0.005059,42.889000
0.005064,42.888000
0.005069,42.886000
0.005074,42.884000
0.005079,42.882000
0.005085,42.880000
0.005090,42.878000
0.005095,42.877000
0.005100,42.875000
0.005105,42.874000
0.005110,42.872000
0.005115,42.870000
0.005120,42.868000
0.005125,42.866000
0.005130,42.865000
0.005135,42.863000
0.005141,42.861000
0.005146,42.859000
0.005151,42.858000
0.005156,42.856000
0.005161,42.855000
0.005166,42.853000
0.005171,42.851000
0.005176,42.850000
0.005181,42.848000
0.005186,42.846000
0.005191,42.844000
0.005197,42.843000
0.005202,42.841000
0.005207,42.840000
0.005212,42.838000
0.005217,42.836000
0.005222,42.834000
0.005227,42.832000
0.005232,42.830000
0.005237,42.829000
0.005242,42.827000
0.005248,42.824000
0.005253,42.823000
0.005258,42.821000
0.005263,42.819000
0.005268,42.818000
0.005273,42.816000
0.005278,42.814000
0.005283,42.813000
0.005288,42.811000
0.005293,42.810000
0.005298,42.808000
0.005304,42.806000
0.005309,42.804000
0.005314,42.802000
0.005319,42.800000
0.005324,42.799000
0.005329,42.797000
0.005334,42.796000
0.005339,42.794000
0.005344,42.791000
0.005349,42.789000
0.005355,42.787000
0.005360,42.785000
0.005365,42.783000
0.005370,42.780000
0.005375,42.778000
0.005380,42.776000
0.005385,42.774000
0.005390,42.771000
0.005395,42.770000
0.005400,42.768000
0.005405,42.766000
0.005411,42.765000
0.005416,42.764000
0.005421,42.762000
0.005426,42.761000
0.005431,42.759000
0.005436,42.757000
